Frequency (MHz),Power (Watts),Error Time (s),Error Distance,Hamming Distance,Error Iterations Since Last Error
3060,54.22,4.251801658000005,8316771058221030840,25308,0
3060,54.65,4.927847501999992,3400033016165826560,28592,1
3060,54.72,4.896743119000007,8507364806017569072,39920,1
3060,54.94,4.904270438999987,16008291045682554304,51778,1
3060,55.10,4.892375441000013,14607782512636311552,67818,1
3060,55.43,4.894352201999993,13428830361769314400,81301,1
3060,55.51,4.895800310999988,2987413257468707024,68002,1
3060,55.46,4.920451826999994,13002599320257170623,80233,1
3060,55.78,4.895641341000015,12914029288818542224,88084,1
3060,55.60,4.9011870919999865,6139332789142553432,94474,1
3060,55.64,4.896451544000001,18127093594318641552,104980,1
3045,55.54,4.901720824000023,5815538621632677760,82589,1
3045,55.64,4.900116335000007,15441160645756190720,90651,1
3045,55.81,4.9035042509999585,1573930304915488800,97329,1
3045,55.70,4.895132968000041,6140561571849151872,129947,1
3045,55.90,4.8972173199999816,14260904320805218600,131132,1
3045,55.64,4.906633173999978,6118862264377514600,131940,1
3045,55.82,4.9048060270000065,3883239235611319688,137121,1
3045,55.89,4.910414910000043,6138486090943103192,136685,1
3045,55.81,4.908744120999984,5961132225059670896,139012,1
3045,55.73,4.905838603999996,15103190403711015224,125577,1
3045,55.62,4.903871277999997,11470188393217612192,121894,1
3045,55.82,4.919688355999995,13434885896508871872,119294,1
3045,55.79,4.921339542999988,6163259800664188624,139297,1
3045,55.68,4.905260397999996,5717122359999495048,131369,1
3045,55.84,4.904206081000041,12065933227682701488,133270,1
3045,55.84,4.906474403999994,13325779535923104336,130996,1
3045,55.91,4.90642466700001,12320721657456529584,123772,1
3045,55.96,4.906577018999997,3668563791337072856,123418,1
3045,55.89,4.912872426999968,17578926516413336576,118451,1
3045,55.81,4.9105179009999915,17792253541297308984,131570,1
3045,55.85,4.9132305329999895,16783692017501081952,130578,1
3045,55.92,4.9120187139999985,4981995648256207592,134614,1
3045,55.76,4.9116027110000005,4341863189172523072,127624,1
3045,55.92,4.913313060000007,4475734967437959664,122564,1
3045,56.14,4.915014032000045,356825729418746880,130321,1
3045,56.06,4.914852570999983,4794764486186819072,132013,1
3045,56.05,4.910016443000018,17906580051854675168,131831,1
3045,56.06,4.913832064999951,6098427851452792400,127953,1
3045,56.26,4.916449853000017,4443677230223982680,121003,1
3045,55.88,4.906824761999985,10518928529664444384,152555,1
3045,55.97,4.908059612000045,12577922101169136872,150483,1
3045,55.96,4.9070113109999625,12527834315155758704,151172,1
3045,55.89,4.909011133000035,9892836175541148852,152687,1
3045,55.89,4.9070421579999675,13548089355020492264,148847,1
3045,56.03,4.90705553600003,15714126061256724656,149863,1
3045,56.06,4.908436071999972,4572532132835550480,152228,1
3045,56.03,4.917406758000027,7517300982797105013,155483,1
3045,56.24,4.904511932999981,3783399571408784416,154141,1
3045,56.23,4.902347985999995,2759673223044833792,148016,1
3045,56.46,4.904318601,11718110738366918816,148877,1
3045,56.09,4.926806760000034,12214000914784104424,148691,1
3045,56.17,4.901957799999991,13137307139484299216,153545,1
3045,55.99,4.902372510999953,10127986111833753128,149419,1
3045,56.31,4.8993519390000415,11040397962702869136,152409,1
3045,56.16,4.899230241999987,7492742284874362592,155124,1
3045,56.14,4.896698163999986,899255410949366648,152694,1
3045,56.07,4.897806583000033,6352227465833312104,156181,1
3045,56.03,4.900583947999962,17448403154389569832,150655,1
3045,56.00,4.89961415800002,7424328888442067480,155373,1
3045,56.04,4.900678187999972,7226830524431315960,155121,1
3045,56.25,4.903440162000038,4785345783052944192,155067,1
3045,56.13,4.906062222000003,17229858995511269488,153532,1
3045,56.05,4.903459005000002,2840278645930153600,155546,1
3045,56.02,4.9046842930000025,7317137523673920232,159051,1
3045,56.16,4.903413397999998,5624813207411423696,160960,1
3045,56.05,4.903203922999978,4458758721071643896,159067,1
3045,56.05,4.9030518329999495,14194287092553863776,155048,1
3045,56.15,4.907104737000054,10033762205820234784,121519,1
3045,55.94,4.920184866999989,3123094445360852824,160748,1
3045,55.75,4.909168808000004,14770684099781363432,158904,1
3045,56.06,4.9078564210000195,12863909521737717624,162317,1
3045,55.73,4.906847434000042,13881697521693204320,163317,1
3045,55.91,4.903885220999996,4346519771084930032,157607,1
3045,55.76,4.901121545999899,1260499197109732304,156311,1
3045,56.15,4.900666812000054,4006595681862321744,157924,1
3045,56.08,4.900834582000016,14400375623058550376,156000,1
3045,56.00,4.90356168400001,16816216876855604384,158354,1
3045,55.89,4.9063707489999615,9215884041305630472,161179,1
3045,55.88,4.9047282740000355,2683125316144787168,151811,1
3045,55.92,4.903308719999927,3282379051080727360,126609,1
3045,56.01,4.904226416000029,5723685633093267776,142106,1
3045,55.77,4.928376467000021,5784285134556832616,138718,1
3045,55.66,4.9063026779999745,3023655889220507672,142216,1
3045,55.60,4.907989903000043,2049521455306239032,135420,1
3045,55.81,4.907190778999961,15509932372764870488,133176,1
3045,55.71,4.917120391000026,15716390757194790608,125748,1
3045,55.73,4.907057602000009,6121364563467037728,127452,1
3045,55.78,4.908070221000003,7264561125075534168,128767,1
3045,55.75,4.908591709999996,11470927320781454760,130836,1
3045,55.95,4.907449911999947,16137838935682031264,135773,1
3045,56.04,4.909389625000017,18093882606462315512,131031,1
3045,55.94,4.909245888999976,11453482230040657152,125210,1
3045,55.96,4.905829115000074,5836295956555210560,146947,1
3045,55.91,4.905049157999997,1836518410917906800,138454,1
3045,55.92,4.906276314000024,6887531239195345272,133850,1
3045,55.99,4.907035409999935,9739306354708541712,125369,1
3045,55.99,4.903826576000029,16165580513265788040,161238,1
3045,56.01,4.904834486000027,1609860167379359712,163182,1
3045,55.91,4.905348613000001,16473358900358477248,161456,1
3045,55.96,4.914971618999971,13049485810698120584,121274,1
3045,56.25,4.906095585999992,13335844157838899800,152669,1
3045,56.38,4.908050433999961,12362803376235067872,155326,1
3045,56.21,4.906435415000033,11137026375626477568,154727,1
3045,56.13,4.905745799999977,6796711956344825648,157432,1
3045,56.21,4.901875990999997,3821072056236930248,156813,1
3045,56.24,4.901949669000032,5921328001032999360,158471,1
3045,56.10,4.904996476999941,14414962477619150320,158373,1
3045,55.99,4.90523178300009,7427638358589020560,160921,1
3045,56.05,4.909102447000009,7795389807891354304,123353,1
3045,55.95,4.906444699999952,16532775529962591656,159916,1
3045,56.01,4.90590591800003,12619589311544994744,166728,1
3045,56.22,4.906494070000008,16664716932776711368,162746,1
3045,56.34,4.912800611999955,7784068264268197832,120121,1
3045,56.19,4.956291790000023,3398001264490833304,122090,1
3045,56.15,4.913563595000028,13550386497610041712,123233,1
3045,56.30,4.908966595999914,16921469253127744768,125839,1
3045,56.24,4.906240134000086,14935943800982210752,136461,1
3045,56.31,4.908876427999985,17794205880404823416,128796,1
3045,56.32,4.9100527360000115,5185877023487388096,124889,1
3030,55.63,4.284969277000073,13406065107301242880,19135,0
3030,55.98,4.949260034999952,5873828238679472496,28031,1
3030,55.58,4.939955850000047,18008188355764303872,31687,1
3030,55.87,4.949280810000005,13959259187421098576,31663,1
3030,55.70,4.941693424999926,92571665905890304,30565,1
3030,55.99,4.949252535000028,8041245821245980672,33355,1
3030,55.66,4.944270499000027,6158975509679687456,30669,1
3030,55.94,4.951243945999977,4868273260680304640,24643,1
3030,55.59,4.945088250000026,9768632900746151936,25542,1
3030,56.03,4.975000069999965,8265961140895295488,24023,1
3030,55.93,4.97901223000008,2878292537278025728,23482,1
3030,56.26,4.953642031999948,17640099263821246464,21421,1
3030,55.92,4.943403902999989,18200721700988006400,26148,1
3030,55.78,4.97771788700004,3422464695517577216,22963,1
3030,55.81,4.95158956299997,9017333289837888432,32668,1
3030,55.92,4.916980104000004,17679683350482157568,31871,1
3030,55.40,4.94245730199998,1064821270541721504,31815,1
3030,55.48,4.980418154000063,15204309240939073536,27957,1
3030,55.63,4.9811012999999775,13294152985847583840,24631,1
3030,55.44,4.97757749099992,3713378627728714752,22709,1
3030,55.82,4.979829188000053,8924831003109031936,25352,1
3030,55.50,4.9786004039999625,7768674312437891072,23305,1
3030,55.53,4.987131758000032,1245606033331847168,22112,1
3030,55.85,4.964493184000048,10482403277300432896,25133,1
3030,55.71,4.923777507999944,5439829255082635264,24381,1
3030,55.67,4.946491880000053,8754663665314740224,21176,1
3030,55.64,4.975731273999941,7453682918758595904,33151,1
3030,55.90,4.975360075000026,15752023893106151424,32953,1
3030,55.60,4.973215542000048,1753081681982618368,31448,1
3030,55.94,4.95330512999999,3458078593664447936,33670,1
3030,55.67,4.9407190529999525,17526956327824474112,34410,1
3030,55.91,4.972634900000003,1477688784612089152,33685,1
3030,55.59,4.938067808000028,16415491305089269760,33088,1
3030,55.66,4.973286019999932,9090473610407514864,35047,1
3030,55.85,4.973554492000062,2351028671385960448,34465,1
3030,55.85,4.973093289999952,8341600056883223920,32942,1
3030,55.96,4.971229941000047,10107078144056424448,32683,1
3030,55.95,4.97442804100001,3391002350439170048,33438,1
3030,55.97,4.9552644719999535,2125417374319661056,19287,1
3030,55.63,4.939536013000065,4857210022499975168,33281,1
3030,56.07,4.948197289999939,4582817573346693120,35430,1
